SMILES,MW (desalted),ClogP,HBD,TPSA,RotBonds
CN(C(=O)NC1CCOc2ccccc21)C(c1ccccc1)c1ccccn1,373.448,2.419,1,54.46,4
Cn1cc(C(=O)N2CCC(OC3CCOC3)CC2)c(C2CC2)n1,319.399,-0.57,0,56.59,4
CC(=O)N(C)C1CCN(C(=O)c2ccccc2-c2ccccc2C(=O)O)CC1,380.437,0.559,1,77.92,4
COCC1(CNc2cnccc2C#N)CCNCC1,260.335,0.902,2,69.97,5
CCCCOc1ccc(-c2nnc3n2CCCC3)cc1OC,301.383,3.227,0,49.17,6
Cc1cccc(N2CCN(C(=O)NC3CCN(c4ccccn4)C3)CC2)c1,365.472,3.409,1,51.71,3
CCC(NC(=O)c1csnc1C)(C(=O)O)c1ccc(Cl)cc1,338.809,3.123,2,79.29,5
Cc1n[nH]c([C@@H]2CC[C@H](CNC(=O)Cc3ccccc3Cl)O2)n1,334.801,1.609,2,79.9,5
COc1cccc(OC)c1S(=O)(=O)N[C@H](C(=O)O)C(C)C,317.358,1.297,2,101.93,6
Cc1ncc(CN2CCN(C(=O)c3cc[nH]c3C(C)C)CC2)s1,332.464,2.339,1,52.23,4
Cc1ccc(-c2noc(CN3CC=C(c4c[nH]c5ccccc45)CC3)n2)cc1,370.447,4.412,1,57.95,4
Cc1nc2cncc(N3CCN(C(=O)Nc4ccccn4)CC3)n2n1,338.367,0.431,1,91.55,2
Cn1cncc1C(=O)N1C2CCC1CC(O)(Cc1ccc(F)cc1F)C2,361.386,0.602,1,58.36,3
Cc1noc(C)c1CC(=O)Nc1ccc(OC(C)C(=O)O)c(F)c1,336.315,0.93,2,101.66,6
O=C(O)CC1CN(C(=O)CN2C(=O)CCc3ccccc32)CCO1,332.351,0.971,1,87.15,4
COC(=O)C1CCc2nnc(COc3ccc(C)c(C)c3)n2CC1,329.394,1.815,0,66.24,5
CCCN(CC(=O)O)S(=O)(=O)c1cc(C)c(F)cc1F,307.314,3.09,1,74.68,5
Cc1cc2c(N3CC(NS(C)(=O)=O)C3)nccn2n1,281.334,0.698,1,79.6,2
COC(=O)c1cc(F)cc(C(=O)N[C@@H](CC(C)C)C(=O)O)c1,311.306,2.969,2,92.7,7
Cc1noc([C@@H]2C[C@@H](O)[C@@H](CNC(=O)c3cc4ccccc4n3C)C2)n1,354.403,1.43,2,93.18,4
CC(C)(C)c1noc(CN2CC=C(c3c[nH]c4ccccc34)CC2)n1,336.431,3.411,1,57.95,4
Cc1ccc2[nH]c(C3CCCN3C(=O)NCc3cnc(C)s3)nc2c1,355.457,2.333,2,73.91,3
CC(C)c1cc(C(=O)N2CCC([C@@H]3CC[C@H](C(N)=O)O3)CC2)nn1C,348.44,-0.118,1,90.45,4
